,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
165,28.61472222,77.21194444,Shram Shakti Bhawan-1,2007,12.28,12.63,12.87,12.75
166,28.615,77.21222222,Shram Shakti Bhawan-2,2007,12.674181034482759,12.801999999999998,12.32,12.58
167,28.61527778,77.2125,Shram Shakti Bhawan-3,2007,12.674181034482759,12.801999999999998,14.06,14.45
168,28.61666667,77.21388889,Rail Bhavan,2007,12.674181034482759,12.801999999999998,9.14,9.29
169,28.63194444,77.19861111,Birla Mandir,2007,12.674181034482759,12.801999999999998,10.78,10.92
170,28.60138889,77.225,South Block,2007,12.674181034482759,12.801999999999998,14.57,15.27
171,28.60416667,77.175,Mahabir Vansth.,2007,12.674181034482759,12.801999999999998,23.74,24.49
172,28.60611111,77.21,Nehru Park,2007,12.674181034482759,12.801999999999998,22.1,23.18
173,28.59027778,77.2125,Safdarganj Tomb,2007,12.89,13.82,14.07,18.39
174,28.59027778,77.21638889,Lodhi Garden (D)-1,2007,12.674181034482759,12.801999999999998,8.33,8.64
175,28.59166667,77.22055556,Lodhi Graden Dw,2007,12.674181034482759,12.801999999999998,10.07,10.84
176,28.59666667,77.21666667,Aurangzeb Lane RWH,2007,12.674181034482759,12.801999999999998,12.56,13.03
177,28.63611111,77.20277778,Cannaught place,2006,13.01,15.31,12.725819672131147,13.93764044943821
178,28.59166667,77.22055556,Lodhi Graden Dw,2006,10.6,10.49,11.6,11.25
179,28.6125,77.225,India Gate,2006,5.12,5.19,3.19,5.38
180,28.61722222,77.2,Presidents Estate-2,2006,8.06,9.92,9.3,9.78
181,28.62416667,77.20138889,Talkatora,2006,16.9,15.32,17.42,15.75
182,28.59027778,77.18416667,Shanti Path,2006,23.1,22.6,22.37,22.37
183,28.59666667,77.21666667,Aurangzeb Lane RWH,2006,11.15,12.23,12.25,12.93
184,28.62916667,77.2375,Parsi Dharamsala,2006,6.16,6.58,6.96,7.23
185,28.61472222,77.21194444,Shram Shakti Bhawan-1,2006,13.18,12.97,13.96,13.53
186,28.615,77.21222222,Shram Shakti Bhawan-2,2006,12.28,12.801999999999998,12.4,12.38
187,28.61527778,77.2125,Shram Shakti Bhawan-3,2006,14.17,13.91,13.65,14.8
188,28.61666667,77.21388889,Rail Bhavan,2006,10.24,9.47,10.12,9.59
189,28.63194444,77.19861111,Birla Mandir,2006,9.76,10.71,8.81,10.14
190,28.63277778,77.19583333,Mandir Lane Pz,2006,9.1,9.7,9.05,9.87
191,28.60138889,77.225,South Block,2006,14.58,14.81,14.66,14.84
